Style Number,Name,Grid Order,Available On,Font Details,Method,Attachment,Style(bbgl_style),Intro Symbol,Font(bbgl_font),Status,Material Type,Summary,Category,Type,Vendor,SKU,Price,Material,Color(bbgl_material),Chain Color,Chain Length Image(bundlr_chain_image),Size Image(bundlr_size_image),Character Min,Character Max,Caps,Font Type,Size(bbgl_size),Measurements,Chain Length,Closure,Turnaround Weeks,Nickel-Free,Font File,Additional Information
19,Block Letter Studs,,,photos,PHOTOGRAPH x 26,NA,,,,Photos done (these will need to be positioned like BB does on website),metal,2 Metals,Earrings,Two Initials,Private Label (Gem Factor),6891_CUS_FINALSALE_GL,$76,"14K Gold-Plated Sterling Silver, Sterling Silver","Gold (+$10), Silver",,,,2,2,upper,Block,Mini,4mm,,Post back,4,Y,N,"<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: post back
MATERIALS: 14kt gold-plated sterling silver, sterling silver
MEASUREMENTS: text size: 4mm
ALLERGY INFO: This item is Nickel-Free</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 weeks, even when overnight delivery is selected</p>"
10A,Initial Charm Bracelet,,,Engrave SanSerif Font 1,Engrave 2D Method,Use photo,,,,"FONT DONE, Photos done",metal,2 Metals,Bracelet,Single Initial,Private Label (Nashelle),6900_CUS_FINALSALE_GL,$80,"14k Gold Fill, Sterling Silver","Gold, Silver","Gold, Silver",,,1,1,upper,Block,,"Reg. charm diameter: 5/8""","7""",Springform Clasp,4,Y,N,"<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: Springform Clasp
MATERIALS: 14k gold fill, sterling silver
MEASUREMENTS: Charm Diameter: 5/8"", Chain Length: 7"" with 1"" extension
ALLERGY INFO: This item is Nickel-Free</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 weeks, even when overnight delivery is selected</p>"
10B,Mini Initial Charm Bracelet,,,Engrave SanSerif Font 1,Engrave 2D Method,Use photo,,,,"FONT DONE, Photos done",metal,2 Metals,Bracelet,Single Initial,Private Label (Nashelle),6899_CUS_FINALSALE_GL,$68,"14k Gold Fill, Sterling Silver","Gold, Silver","Gold, Silver",,,1,1,upper,Block,,Mini charm diameter: 7mm,"7""",Springform Clasp,4,Y,N,"<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: Springform Clasp
MATERIALS: 14k gold fill, sterling silver
MEASUREMENTS: Charm Diameter: 7mm, Chain Length: 7"" with 1"" extension
ALLERGY INFO: This item is Nickel-Free</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 weeks, even when overnight delivery is selected</p>"
15B,Gold Mini Initial Pendant (K Kane),,,photos,PHOTOGRAPH x 26,Use photo,singleLetter,,Mini_Initial_Pendant,Photos done,metal,1 Metal,Necklace,Single Initial,K Kane,0002_KK_GL,$145,18k Gold Vermeil,Gold,Gold,,,1,1,upper,Script,,"Pendant: 0.65""","18""",Lobster Clasp,,Y,Y,"<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: lobster clasp
MATERIALS: 18K Gold Vermeil
MEASUREMENTS: 18"" chain, pendant size: .65""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item is available for immediate shipping
Return Eligibility: Your package includes a pre-paid USPS return label so you can easily send us your return.</p>"
16G,Mini Nameplate Bracelet,,,Type Block Font  2 or Type Script Font 2,3D Render,rings,stringChars,,Type_Script_Font_2,FONT DONE,metal,"2 Metals, 2 Chain Lengths, 2 Type Faces",Bracelet,Nameplate,Private Label (Gem Factor),3581_SINGLE_CUS_FINAL_GL,$100,"14K Gold-Plated Sterling Silver, Sterling Silver","Yellow Gold (+$10), Silver",,,,1,12,any,Script,Mini,"0.25""","6.5"" petite, 7"" standard",Lobster Clasp,4,Y,N,"<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: Lobster Clasp
MATERIALS: 14kt Gold-Plated Sterling Silver, Sterling Silver
MEASUREMENTS: Length: 6.5"" or 7"", text size: .25""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 weeks, even when overnight delivery is selected</p>

"
4A,Mini Script Monogram Studs,,,Monogram Script Font 1,3D Render,NA,monogram,,,BB working on font,metal,2 metals,Earrings,Circle,Private Label (Gem Factor),6755-U_CUS_FINALSALE_GL,$120,"14K Gold-Plated Sterling Silver, Sterling Silver","Gold (+$10), Silver",,,,2,2,upper,Script,Mini,"Width: 0.5""",,Post back,4,Y,N,"<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<p>Traditional monogrammed initials are ordered First Name initial, Last Name initial, and Middle or Maiden Name initial.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: Post Back
MATERIALS: Sterling Silver, 14kt Gold-Plated Sterling Silver
MEASUREMENTS: Width: 0.5""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 weeks, even when overnight delivery is selected</p>



"
4B,Mini Block Monogram Studs,,,Monogram Block Font 1,3D Render,NA,monogram,,Monogram_Block_Font_1,FONT DONE,metal,2 metals,Earrings,Circle,Private Label (Gem Factor),6755-U_CUS_FINALSALE_GL,$120,"14K Gold-Plated Sterling Silver, Sterling Silver","Gold (+$10), Silver",,,,2,2,upper,Block,Medium,"Width: 0.5""",,Post back,4,Y,N,"<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<p>Traditional monogrammed initials are ordered First Name initial, Last Name initial, and Middle or Maiden Name initial.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: Post Back
MATERIALS: Sterling Silver, 14kt Gold-Plated Sterling Silver
MEASUREMENTS: Width: 0.5""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 weeks, even when overnight delivery is selected</p>



"
6A,Block Banner Pendant,,,Engrave Block Font 2,Engrave 2D Method,Use photo,,,,"FONT DONE, Photos done",metal,"2 Metals, 2 chain lengths",Necklace,Nameplate,Private Label (Gem Factor),6895_CUS_FINALSALE_GL,$100,"14K Gold-Plated Sterling Silver, Sterling Silver","Gold (+$10), Silver",,,,1,12,any,Block,,"Pendant: 1.375"" x 0.25""","16"", 18""",Lobster Clasp,4,Y,N,"<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: lobster clasp
MATERIALS: 14kt gold-plated sterling silver, sterling silver
MEASUREMENTS: Pendant: 1.375"" x 0.25""
ALLERGY INFO: This item is Nickel-Free</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 weeks, even when overnight delivery is selected</p>"
6B,Script Banner Pendant,,,Engrave Script Font 2,Engrave 2D Method,Use photo,,,,"FONT DONE, Photos done",metal,"2 Metals, 2 chain lengths",Necklace,Nameplate,Private Label (Gem Factor),6895_CUS_FINALSALE_GL,$100,"14K Gold-Plated Sterling Silver, Sterling Silver","Gold (+$10), Silver",,,,1,12,any,Script,,"Pendant: 1.375"" x 0.25""","16"", 18""",Lobster Clasp,4,Y,N,"<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: lobster clasp
MATERIALS: 14kt gold-plated sterling silver, sterling silver
MEASUREMENTS: Pendant: 1.375"" x 0.25""
ALLERGY INFO: This item is Nickel-Free</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 weeks, even when overnight delivery is selected</p>"
8A,Custom Charm Ring,,,Engrave SanSerif Font 1,Engrave 2D Method,NA,,,,"FONT DONE, Photo done",metal,"2 Metals, Ring sizes 4-9",Ring,Single Initial,Private Label (Nashelle),4029_CUS_FINALSALE_GL,$55,"14k Gold Fill, Sterling Silver","Gold, Silver","Gold, Silver",,,1,1,upper,Block,,"Diameter: 5/8"", Band: 1.58mm",,,4,Y,N,"<h1>SIZE & MATERIALS</h1>

<p>MATERIALS: 14kt Gold-Fill, Sterling Silver
MEASUREMENTS: Charm diameter: 5/8"", band gauge: approximately 1.58 mm</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: Your package includes a pre-paid USPS return label so you can easily send us your return.</p>"
8B,Custom Mini Charm Ring,,,Engrave SanSerif Font 1,Engrave 2D Method,NA,,,,"FONT DONE, Photo done",metal,"2 Metals, Ring sizes 4-9",Ring,Single Initial,Private Label (Nashelle),4028_CUS_FINALSALE_GL,$50,"14k Gold Fill, Sterling Silver","Gold, Silver","Gold, Silver",,,1,1,upper,Block,,"Diameter: 7mm, Band: 1.58mm",,,4,Y,N,"<h1>SIZE & MATERIALS</h1>

<p>MATERIALS: 14kt Gold-Fill, Sterling Silver
MEASUREMENTS: Charm diameter: 7mm, band gauge: approximately 1.58 mm</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: Your package includes a pre-paid USPS return label so you can easily send us your return.</p>"
9A,Initial Charm Pendant,,,Engrave SanSerif Font 1,Engrave 2D Method,Use photo,,,,"FONT DONE, Photos done",metal,2 Metals,Necklace,Single Initial,Private Label (Nashelle),6902_CUS_FINALSALE_GL,$93,"14k Gold Fill, Sterling Silver","Gold, Silver","Gold, Silver",,,1,1,upper,Block,,"Reg. charm diameter: 5/8""","16""",Springform Clasp,4,Y,N,"<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 weeks, even when overnight delivery is selected</p>"
9B,Mini Initial Charm Pendant,,,Engrave SanSerif Font 1,Engrave 2D Method,Use photo,,,,"FONT DONE, Photos done",metal,2 Metals,Necklace,Single Initial,Private Label (Nashelle),6901_CUS_FINALSALE_GL,$78,"14k Gold Fill, Sterling Silver","Gold, Silver","Gold, Silver",,,1,1,upper,Block,,Mini charm diameter: 7mm,"16""",Springform Clasp,4,Y,N,"<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: Springform Clasp
MATERIALS: 14k gold fill, sterling silver
MEASUREMENTS: Charm Diameter: 7mm, Chain Length: 16"" with 1"" extension
ALLERGY INFO: This item is Nickel-Free</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 weeks, even when overnight delivery is selected</p>"
